transaction_id,portfolio_id,security_id,transaction_date,settlement_date,transaction_type,quantity,price,transaction_amount,currency,broker,trader_id,status,created_at,updated_at
TXN001,PF001,SEC001,2024-01-15,2024-01-17,BUY,1000,175.50,175500.00,USD,Goldman Sachs,TRD001,SETTLED,2024-01-15 09:30:00,2024-01-17 16:00:00
TXN002,PF001,SEC002,2024-01-15,2024-01-17,BUY,500,380.25,190125.00,USD,Morgan Stanley,TRD002,SETTLED,2024-01-15 10:15:00,2024-01-17 16:00:00
TXN003,PF002,SEC003,2024-01-16,2024-01-18,BUY,750,142.80,107100.00,USD,JP Morgan,TRD001,SETTLED,2024-01-16 11:00:00,2024-01-18 16:00:00
TXN004,PF001,SEC004,2024-01-18,2024-01-22,BUY,300,155.20,46560.00,USD,Goldman Sachs,TRD003,SETTLED,2024-01-18 14:30:00,2024-01-22 16:00:00
TXN005,PF003,SEC005,2024-01-20,2024-01-24,BUY,200,238.45,47690.00,USD,Citibank,TRD002,SETTLED,2024-01-20 09:45:00,2024-01-24 16:00:00
TXN006,PF002,SEC006,2024-01-22,2024-01-24,BUY,400,385.60,154240.00,USD,Morgan Stanley,TRD001,SETTLED,2024-01-22 13:20:00,2024-01-24 16:00:00
TXN007,PF001,SEC007,2024-01-25,2024-01-29,BUY,600,156.30,93780.00,USD,JP Morgan,TRD003,SETTLED,2024-01-25 10:00:00,2024-01-29 16:00:00
TXN008,PF003,SEC008,2024-01-28,2024-01-30,BUY,800,178.90,143120.00,USD,Goldman Sachs,TRD002,SETTLED,2024-01-28 15:00:00,2024-01-30 16:00:00
TXN009,PF002,SEC009,2024-01-30,2024-02-01,BUY,350,520.75,182262.50,USD,Citibank,TRD001,SETTLED,2024-01-30 11:30:00,2024-02-01 16:00:00
TXN010,PF001,SEC010,2024-02-01,2024-02-05,BUY,900,102.40,92160.00,USD,Morgan Stanley,TRD003,SETTLED,2024-02-01 09:15:00,2024-02-05 16:00:00
TXN011,PF001,SEC001,2024-02-10,2024-02-12,SELL,500,182.30,91150.00,USD,Goldman Sachs,TRD001,SETTLED,2024-02-10 14:00:00,2024-02-12 16:00:00
TXN012,PF002,SEC003,2024-02-12,2024-02-14,SELL,250,148.50,37125.00,USD,JP Morgan,TRD002,SETTLED,2024-02-12 10:30:00,2024-02-14 16:00:00
TXN013,PF003,SEC005,2024-02-15,2024-02-19,SELL,100,245.80,24580.00,USD,Citibank,TRD003,SETTLED,2024-02-15 13:45:00,2024-02-19 16:00:00
TXN014,PF001,SEC011,2024-02-20,2024-02-22,BUY,10000,98.50,985000.00,USD,Goldman Sachs,TRD001,SETTLED,2024-02-20 09:00:00,2024-02-22 16:00:00
TXN015,PF002,SEC012,2024-02-22,2024-02-26,BUY,5000,99.20,496000.00,USD,JP Morgan,TRD002,SETTLED,2024-02-22 11:00:00,2024-02-26 16:00:00
TXN016,PF003,SEC008,2024-02-25,2024-02-27,SELL,300,185.60,55680.00,USD,Goldman Sachs,TRD001,SETTLED,2024-02-25 15:30:00,2024-02-27 16:00:00
TXN017,PF001,SEC002,2024-03-01,2024-03-05,SELL,200,395.40,79080.00,USD,Morgan Stanley,TRD003,SETTLED,2024-03-01 10:15:00,2024-03-05 16:00:00
TXN018,PF002,SEC006,2024-03-05,2024-03-07,SELL,150,402.30,60345.00,USD,Citibank,TRD002,SETTLED,2024-03-05 14:20:00,2024-03-07 16:00:00
TXN019,PF001,SEC014,2024-03-10,2024-03-12,BUY,2000,6.85,13700.00,GBP,Barclays,TRD001,SETTLED,2024-03-10 09:30:00,2024-03-12 16:00:00
TXN020,PF003,SEC015,2024-03-15,2024-03-19,BUY,1500,12.45,18675.00,EUR,Deutsche Bank,TRD002,SETTLED,2024-03-15 11:00:00,2024-03-19 16:00:00
